cruise,lat,lon,date,int_pp,doy
AMT22,48.93,-16.37,10/13/2012,402.7,287
AMT22,45.88,-18.61,10/14/2012,118.5,288
AMT22,42.8,-20.58,10/15/2012,158.9,289
AMT22,39.65,-22.51,10/16/2012,146.4,290
AMT22,36.69,-24.47,10/17/2012,186.3,291
AMT22,34.38,-27.64,10/18/2012,92.2,292
AMT22,32.02,-30.74,10/19/2012,143.1,293
AMT22,32.02,-30.74,10/20/2012,107.7,294
AMT22,27.61,-36.35,10/21/2012,138.8,295
AMT22,25.5,-38.98,10/22/2012,310.5,296
AMT22,23.16,-40.6,10/23/2012,225.6,297
AMT22,20.57,-38.59,10/24/2012,280.1,298
AMT22,17.71,-36.43,10/25/2012,338.8,299
AMT22,15.06,-34.45,10/26/2012,403.4,300
AMT22,12.22,-32.36,10/27/2012,640.1,301
AMT22,9.45,-30.33,10/28/2012,509.6,302
AMT22,6.62,-28.34,10/29/2012,533.6,303
AMT22,4.03,-26.47,10/30/2012,629.8,304
AMT22,1.11,-24.98,10/31/2012,631.3,305
AMT22,-1.11,-24.96,11/1/2012,431.3,306
AMT22,-4.62,-25,11/2/2012,229.8,307
AMT22,-8.09,-25.01,11/3/2012,225.5,308
AMT22,-11.62,-25.02,11/4/2012,301.9,309
AMT22,-15.29,-25.05,11/5/2012,157.7,310
AMT22,-18.52,-25.1,11/6/2012,132.9,311
AMT22,-20.12,-24.5,11/8/2012,181.7,313
AMT22,-22.96,-24.98,11/9/2012,166.5,314
AMT22,-25.75,-24.99,11/10/2012,223.8,315
AMT22,-28.39,-25.48,11/11/2012,229.7,316
AMT22,-30.2,-27.92,11/12/2012,267.5,317
AMT22,-34.15,-33.49,11/14/2012,307.7,319
AMT22,-36.07,-36.26,11/15/2012,1663.8,320
AMT22,-38.11,-39.33,11/16/2012,1518.6,321
AMT22,-40.1,-42.38,11/17/2012,903.9,322
AMT22,-42.14,-45.63,11/18/2012,1135.5,323
AMT22,-43.92,-48.57,11/19/2012,783.7,324
AMT22,-45.5,-51.32,11/20/2012,947.7,325
