wt,bbp,chl,par,mld,yd,sf,lat,lon,ap490,C_mod,date,kd_M07,Ez1,fe
16.46886983,0.00211195,0.838395531,1.976755614,30,223,NA,48.68763911,NA,NA,24.61890107,20180811,0.085271331,61.99770812,1.061317031
16.48421381,0.001237891,0.149592353,1.83253299,30,224,0.782439107,49.12223595,NA,0.027907722,16.05530099,20180812,0.038183961,136.46749,0.911532342
16.09439856,0.001127933,0.120480622,1.994404788,30,225,0.766584717,49.65033409,NA,0.026083478,10.30066325,20180813,0.035264458,150.1658062,0.616783629
14.34650799,0.001039808,0.117962419,1.247096667,29,226,0.687537931,50.00680756,NA,0.019181736,7.310692172,20180814,0.035001591,137.8791153,0.591961399
14.24082338,0.001014181,0.120858014,0.800914753,24,227,0.913700482,50.07110629,NA,0.011374819,5.604233159,20180815,0.035303697,124.1561022,0.586357094
14.2820428,0.000933145,0.127436373,1.623671654,23,228,0.726824338,50.13384989,NA,0.009144113,9.214908496,20180816,0.03598135,141.4582912,0.595555426
14.42201317,0.000945836,0.12295659,1.29250899,25,229,NA,50.16885873,NA,NA,6.433915822,20180817,0.035521163,136.8692637,0.489017512
14.43690748,0.000984644,0.151934256,1.747007506,26,230,0.83068324,50.21176414,NA,0.012051777,9.941578908,20180818,0.038410283,134.4190701,0.567444586
14.43704533,0.001019393,0.168943298,0.802039622,28,231,1.052454401,50.29715234,NA,0.0069238,7.110857846,20180819,0.040021114,109.5564927,0.615349636
14.26114871,0.000794223,0.130523201,0.870707979,25,232,0.7174849,50.32800676,NA,0.013651202,6.128065376,20180820,0.036295354,123.0659311,0.589518088
14.12501371,0.000655094,0.097698557,1.181925694,33,233,0.761943026,50.33482742,NA,0.009447152,6.14066347,20180821,0.032813971,145.4354694,0.58060434
14.1018981,0.000556803,0.07318944,1.196789319,31,234,0.660710564,50.36697278,NA,0.008497418,5.330533713,20180822,0.029955391,159.7312672,0.579253637
14.21404403,0.000654188,0.091136842,1.31254808,28,235,NA,50.41897727,NA,NA,6.852568414,20180823,0.032074406,152.0570784,0.621411919
14.27623855,0.000602216,0.080835849,1.388790117,27,236,0.733049591,50.44778643,NA,0.014154846,6.50390431,20180824,0.030876955,159.782698,0.594529633
14.31895691,0.000649253,0.085782436,1.701854057,28,237,0.592646997,50.46087635,NA,0.019391874,7.327349163,20180825,0.031457868,163.2942332,0.565692205
14.4115768,0.000696786,0.11812772,1.321085687,27,238,0.579082318,50.4934046,NA,0.017183905,7.233644549,20180826,0.035018902,139.4568011,0.557169945
14.52369915,0.000899593,0.138308663,1.79716999,27,239,0.524280229,50.5322547,NA,0.0212396,9.81391722,20180827,0.037076695,140.0174268,0.576099908
14.67088869,0.000946446,0.13799602,1.103483942,25,240,0.540493652,50.49874944,NA,0.024167809,6.894603002,20180828,0.037045601,126.9689895,0.543726228
14.67891863,0.000941725,0.137554737,1.365201795,26,241,0.657232238,50.47866821,NA,0.023296768,8.406121393,20180829,0.037001675,132.8716182,0.583676323
14.82409086,0.000956323,0.133015103,0.886435883,25,242,0.67446337,50.476724,NA,0.024607256,6.111828207,20180830,0.036547064,122.7081793,0.56669707
14.6022597,0.00099898,0.145865832,1.619512807,25,243,0.663189011,50.5662341,NA,0.013703731,9.497838823,20180831,0.037821414,134.5083384,0.574810116
14.60450497,0.000987344,0.139090872,0.927843116,28,244,1.056577618,50.57668793,NA,0.020664427,6.628286939,20180901,0.037154387,121.9311625,0.588586537
14.54765889,0.000948296,0.138711111,0.896031296,34,245,0.609270845,50.58870073,NA,0.025727366,6.080001028,20180902,0.037116685,121.1150781,0.566606427
14.67601406,0.001101425,0.141623855,0.637787465,31,246,NA,50.60404909,NA,NA,5.227477266,20180903,0.037404994,111.0926527,0.586674203
14.6765631,0.00097236,0.128900353,0.400758799,32,247,0.50210003,50.56316698,NA,0.01660123,3.679958273,20180904,0.036130579,102.1509957,0.57529732
14.48081473,0.000943145,0.126790527,1.140035238,34,248,0.568185858,50.54304118,NA,0.020661562,6.927799575,20180905,0.035915337,131.8720574,0.579644865
14.40004284,0.000920284,0.119928717,0.767790315,34,249,0.634520108,50.50710548,NA,0.019368296,4.634910316,20180906,0.035207002,123.2973919,0.521097364
14.3905074,0.001045707,0.144391762,0.653703954,33,250,0.564256819,50.43402586,NA,0.020198116,5.512390067,20180907,0.037677167,110.9443695,0.608783274
14.35688413,0.000831804,0.108208705,1.423005704,32,251,0.7645594,50.51896391,NA,0.017434589,7.276953019,20180908,0.033965471,145.9700514,0.569371881
15.15122667,0.001049902,0.115793556,1.560939931,31,252,NA,50.27057656,NA,NA,8.649633266,20180909,0.034773709,145.2378403,0.613270159
16.39243662,0.001334913,0.130016412,1.720682955,31,253,NA,49.50174069,NA,NA,9.188981378,20180910,0.03624397,142.0344245,0.619143556
16.10153493,0.002307528,0.526955502,1.502351782,31,254,NA,48.8121638,NA,NA,NA,20180911,0.06687484,74.94899309,0.748985127
14.33671599,0.002527997,NA,1.284020608,30,232.0647208,0.690113751,49.79192682,NA,0.017711765,NA,NA,NA,NA,0.71587119
